@@,name,position
+++,Yeshey Penjor,Minister of Agriculture and Forests
+++,Ugyen Dorji,Minister of Home & Cultural Affairs
+++,Namgay Tshering,Minister of Finance
+++,Loknath Sharma,Minister of Economic Affairs
+++,Karma Dorji,Minister of Labor and Human Resources
+++,Karma Donnen Wangdi,Minister of Information and Communications
+++,Jai Bir Rai,Minister of Education
+++,Dorji Tshering,Minister of Works and Human Settlement
+++,Dechen Wangmo,Minister of Health
+++,(Dr.) Tandi Dorji,Minister of Foreign Affairs
