item,itemLabel,position,positionLabel,start,psid
Q109969244,Karma Dorji,Q108883882,Minister of Labour and Human Resources of Bhutan,2021-09-08,Q109969244-68FFECF5-BC0F-419D-8645-365FB355A726
Q58422562,Tandi Dorji,Q4294896,Foreign Minister of Bhutan,2018-11-08,Q58422562-a5e2f045-4c90-2663-7be8-3e4e384a8568
Q58756421,Yeshey Penjor,Q108883868,Minister of Agriculture and Forests of Bhutan,2018-11-07,Q58756421-6DB3E59B-B654-4FE2-AFC5-E01E33FF77EC
Q58806797,Dechen Wangmo,Q108883702,Minister of Health of Bhutan,2018-11-07,Q58806797-DEFD74A7-1B53-49C3-AF36-F503638CE66C
Q58813011,Loknath Sharma,Q108883873,Minister of Economic Affairs of Bhutan,2018-11-07,Q58813011-CF536897-EDEC-45B9-BEA1-AE2A9E800E84
Q58813052,Jai Bir Rai,Q108883692,Minister of Education,2018-11-07,Q58813052-165DF32A-1B2F-466F-8F60-978096A48429
Q58813057,Dorji Tshering,Q108883743,Minister of Works and Human Settlement,2018-11-07,Q58813057-19D045CC-EEDE-4B0E-A7B4-924F47ED7736
Q58972835,Karma Donnen Wangdi,Q108883698,Minister for Information and Communication,2018-11-07,Q58972835-3A19484B-6D98-4C14-81A4-3ED3535AF127
Q58972868,Namgay Tshering,Q108883751,Minister of Finance of Bhutan,2018-11-07,Q58972868-24E3E8F1-5BAA-4AD4-AA23-69387FD68CB8
Q59773551,Ugyen Dorji,Q108883865,Minister of Home and Cultural Affairs of Bhutan,2021-09-08,Q59773551-2E124720-B5C7-4783-ADC8-8D7D86F5B6F9
