position,title
Q1261215,Druk Gyalpo (King)
Q663871,Prime Minister
Q108883868,Minister of Agriculture and Forests
Q108883873,Minister of Economic Affairs
Q108883692,Minister of Education
Q108883751,Minister of Finance
Q4294896,Minister of Foreign Affairs
Q108883702,Minister of Health
Q108883698,Minister for Information and Communication
Q108883865,Minister of Home and Cultural Affairs
Q108883882,Minister of Labour and Human Resources
Q108883743,Minister of Works and Human Settlement
Q109969110,Speaker of the National Assembly
Q109969128,Chairman of the National Council
Q108883651,Chief Justice
Q109969140,Governor of the Royal Monetary Authority
Q109969163,COO of the Army
